Rank,Title,Employees,Sector,Industry,Hqcity,Ceo,Ceo-title,Revenues,Revchange,Profits,Prftchange,Assets
124,US Foods Holding,25000,Wholesalers,Wholesalers: Food and Grocery,Rosemont,Pietro Satriano,"President, Chief Executive Officer & Director",22919,-0.9,209.8,25.2,8945
125,U.S. Bancorp,71191,Financials,Commercial Banks,Minneapolis,Andrew J. Cecere,"President, Chief Executive Officer & Director",22744,5.8,5888,0.2,445964
126,Aflac,10212,Financials,"Insurance: Life, Health (Stock)",Columbus,Daniel P. Amos,Chairman & Chief Executive Officer,22559,8.1,2659,5,129819
127,Sears Holdings,140000,Retailing,General Merchandisers,Hoffman Estates,Edward S. Lampert,Chairman & Chief Executive Officer,22138,-12,-2221,5,9362
128,Dollar General,121000,Retailing,Specialty Retailers: Other,Goodlettsville,Todd J. Vasos,Chief Executive Officer & Director,21987,7.9,1251.1,7.4,11672
129,AutoNation,26000,Retailing,"Automotive Retailing, Services",Fort Lauderdale,Michael J. Jackson,Chairman & Chief Executive Officer,21609,3.6,430.5,-2.7,10060
130,Community Health Systems,108000,Health Care,Health Care: Medical Facilities,Franklin,Wayne T. Smith,Chairman & Chief Executive Officer,21374,-5.8,-1721,"-1,189.20",21944
131,Starbucks,254000,"Hotels, Restaurants & Leisure",Food Services,Seattle,Keven R. Johnson,"President, Chief Executive Officer & Director",21316,11.2,2817.7,2.2,14330
132,Eli Lilly,41975,Health Care,Pharmaceuticals,Indianapolis,David A. Ricks,"President, Chief Executive Officer & Director",21222,6.3,2737.6,13.7,38806
133,International Paper,55000,Materials,"Packaging, Containers",Memphis,Mark S. Sutton,Chairman & Chief Executive Officer,21079,-5.8,904,-3.6,33345
134,Tenet Healthcare,116475,Health Care,Health Care: Medical Facilities,Dallas,Trevor Fetter,"Chairman, President & Chief Executive Officer",21070,4.8,-192,-3.6,24701
135,Abbott Laboratories,75000,Health Care,Medical Products and Equipment,Abbott Park,Miles D. White,Chairman & Chief Executive Officer,20853,0.9,1400,-68.3,52666
136,Dollar Tree,116050,Retailing,Specialty Retailers: Other,Chesapeake,Bob Sasser,Chief Executive Officer & Director,20719,33.7,896.2,217.4,15702
137,Whirlpool,93000,Industrials,"Electronics, Electrical Equipment",Benton Harbor,Jeff M. Fettig,Chairman & Chief Executive Officer,20718,-0.8,888,13.4,19153
138,Southwest Airlines,53536,Transportation,Airlines,Dallas,Gary C. Kelly,Chairman & Chief Executive Officer,20425,3.1,2244,2.9,23286
139,Emerson Electric,103500,Industrials,"Electronics, Electrical Equipment",St. Louis,David N. Farr,Chairman & Chief Executive Officer,20268,-9.1,1635,-39.7,21743
